OBJECTID,src_HUC10_NAME,UpDwn,nbr_HUC10_NAME,src_STREAM_ORD,nbr_STREAM_ORD
4,Alexander Lake-Wisconsin River,Upstream,Eau Claire Flowage-Wisconsin River,6,7
9,Allen Creek,Upstream,Story Creek-Sugar River,4,5
12,Ames Branch-Pecatonica River,Upstream,Spafford Creek-Pecatonica River,5,5
16,Anderson Creek-Frontal Lake Winnebago,Upstream,Lake Winnebago,5,7
18,Ashippun River-Rock River,Upstream,Johnson Creek-Rock River,6,7
22,Bad Axe River,Upstream,Mormon Creek-Mississippi River,6,8
30,Badfish Creek,Upstream,Lake Kegonsa-Yahara River,4,5
32,Balsam Branch-Apple River,Upstream,Big Marine Lake-Saint Croix River,6,6
34,Bark River,Upstream,Lake Koshkonong-Rock River,6,7
37,Bass Creek,Upstream,City of Beloit-Lower Rock River,4,7
39,Bear Creek,Upstream,City of Spring Green-Wisconsin River,4,7
40,Bear Creek-Chippewa River,Upstream,City of Winona-Mississippi River,8,8
48,Bear Creek-Embarrass River,Upstream,Partridge Lake-Wolf River,5,6
52,Bear Creek-Kickapoo River,Upstream,Tainter Creek-Kickapoo River,5,6
55,Bear Creek-Wolf River,Upstream,Partridge Lake-Wolf River,6,6
58,Bear River,Upstream,Headwaters Flambeau River,4,5
60,Beaver Brook-Apple River,Upstream,Balsam Branch-Apple River,5,6
61,Beaver Creek (Black),Upstream,Fleming Creek-Black River,5,6
64,Beaver Creek (Castle Rock),Upstream,Middle Lemonweir River,6,6
66,Beaver Dam River,Upstream,Crawfish River,5,6
67,Big Green Lake,Upstream,Puchyan River-Fox River,4,6
68,Big Green River,Upstream,City of Boscobel-Wisconsin River,4,7
70,Big Marine Lake-Saint Croix River,Upstream,Lake Saint Croix,6,6
72,Big River-Mississippi River,Upstream,Hay Creek-Mississippi River,6,6
74,Big Roche a Cri Creek,Upstream,Castle Rock Lake-Wisconsin River,4,7
76,Big Sandy Creek-Eau Claire River,Upstream,Eau Claire Flowage-Wisconsin River,5,7
78,Black Brook-Eau Claire River,Upstream,Big Sandy Creek-Eau Claire River,4,5
80,Black Creek,Upstream,Scotch Creek-Big Rib River,4,5
82,Black Earth Creek,Upstream,Blue Mounds Creek,5,5
83,Black River,Upstream,Lower Nemadji River-Frontal Lake Superior,4,6
87,Blackhawk Creek,Upstream,Marsh Creek-Rock River,4,7
89,Blake Creek-Little Wolf River,Upstream,Partridge Lake-Wolf River,5,6
92,Bloody Run-Mississippi River,Upstream,Sny Magill Creek-Mississippi River,8,8
94,Blue Mounds Branch,Upstream,East Branch Pecatonica River,5,6
97,Blue Mounds Creek,Upstream,City of Spring Green-Wisconsin River,5,7
98,Blue River,Upstream,City of Boscobel-Wisconsin River,6,7
101,Branch River,Upstream,Manitowoc River-Frontal Lake Michigan,4,6
102,Brill River-Red Cedar River,Upstream,Lower Pine Creek-Red Cedar River,5,7
106,Brule River,Upstream,Squaw Creek-Menominee River,6,6
110,Brunet River-Chippewa River,Upstream,Soft Maple Creek-Chippewa River,6,6
113,Butternut Creek,Upstream,Middle Flambeau River,4,6
116,Castle Rock Lake-Wisconsin River,Upstream,Dell Creek-Wisconsin River,7,7
121,Cedar Creek,Upstream,Lower Milwaukee River-Frontal Lake Michigan,4,5
123,Chases Brook-Saint Croix River,Upstream,Goose Creek-Saint Croix River,6,6
133,City of Beloit-Lower Rock River,Upstream,Pecatonica River,7,8
141,City of Boscobel-Wisconsin River,Upstream,Wisconsin River,7,7
144,City of Spring Green-Wisconsin River,Upstream,City of Boscobel-Wisconsin River,7,7
152,City of Stevens Point-Wisconsin River,Upstream,Petenwell Lake-Wisconsin River,7,7
156,City of Winona-Mississippi River,Upstream,Halfway Creek-Mississippi River,8,8
160,Clam River,Upstream,Chases Brook-Saint Croix River,5,6
162,Coon Creek,Upstream,Mormon Creek-Mississippi River,4,8
163,Copper River,Upstream,Alexander Lake-Wisconsin River,5,6
164,Couderay River,Upstream,Brunet River-Chippewa River,4,6
166,Cranberry Creek,Upstream,Little Yellow River-Yellow River,5,6
168,Cranberry Creek-Chippewa River,Upstream,Bear Creek-Chippewa River,7,8
175,Crawfish River,Upstream,Johnson Creek-Rock River,6,7
178,De Neveu Creek-Frontal Lake Winnebago,Upstream,Lake Winnebago,3,7
180,Deer Tail Creek,Upstream,Holcolmbe Flowage-Chippewa River,3,7
